de                 : 213
a                  : 86
e                  : 74
criptografia       : 63
que                : 60
uma                : 60
para               : 57
o                  : 50
é                  : 43
em                 : 39
da                 : 34
ou                 : 31
os                 : 28
se                 : 28
A                  : 27
um                 : 27
cifra              : 26
na                 : 25
por                : 24
com                : 23
chave              : 20
letras             : 19
mais               : 17
dados              : 17
no                 : 16
como               : 15
as                 : 15
cifras             : 15
texto              : 14
mensagem           : 14
exemplo            : 14
uso                : 14
são                : 13
simples            : 13
do                 : 12
das                : 12
era                : 12
usada              : 12
sistemas           : 12
informações        : 11
cifragem           : 10
O                  : 10
dos                : 10
métodos            : 10
cada               : 10
seja               : 10
prática            : 9
também             : 9
sem                : 9
algoritmos         : 9
primeiro           : 9
letra              : 9
foi                : 9
criptologia        : 8
moderna            : 8
segurança          : 8
à                  : 8
não                : 8
vez                : 8
mesmo              : 8
Na                 : 8
estudo             : 7
técnicas           : 7
digitais           : 7
cifrado            : 7
ser                : 7
seguros            : 7
até                : 7
substituição       : 7
esteganografia     : 7
garantir           : 7
segura             : 6
forma              : 6
mensagens          : 6
outras             : 6
incluem            : 6
decifragem         : 6
usar               : 6
chaves             : 6
assimétricos       : 6
No                 : 6
torna              : 6
pela               : 6
alfabeto           : 6
Criptografia       : 5
computação         : 5
confidencialidade  : 5
tornando           : 5
sejam              : 5
Em                 : 5
digital            : 5
ao                 : 5
tempos             : 5
possíveis          : 5
tipos              : 5
simétricos         : 5
ter                : 5
outros             : 5
grupos             : 5
essencial          : 5
antigo             : 4
comunicação        : 4
autenticação       : 4
militares          : 4
pode               : 4
apenas             : 4
qualquer           : 4
esquemas           : 4
podem              : 4
mas                : 4
Uma                : 4
pelos              : 4
principais         : 4
Os                 : 4
usados             : 4
todos              : 4
palavra            : 4
isso               : 4
transposição       : 4
sistematicamente   : 4
inicial            : 4
César              : 4
comunicar          : 4
sido               : 4
ocultar            : 4
esconder           : 4
diferentes         : 4
Kautiliyam         : 4
Mulavediya         : 4
vogais             : 4
secretas           : 4
árabes             : 4
ameaças            : 4
adversário         : 3
informação         : 3
integridade        : 3
As                 : 3
aplicações         : 3
comunicações       : 3
ininteligível      : 3
remetente          : 3
usa                : 3
E                  : 3
desenvolvimento    : 3
real               : 3
teoricamente       : 3
portanto           : 3
ferramenta         : 3
la                 : 3
papel              : 3
termo              : 3
século             : 3
modernos           : 3
chamadas           : 3
textos             : 3
palavras           : 3
volta              : 3
par                : 3
algoritmo          : 3
conhecido          : 3
necessária         : 3
trivialmente       : 3
conhecimento       : 3
dois               : 3
secreta            : 3
usam               : 3
pública            : 3
decifrar           : 3
Exemplos           : 3
usado              : 3
código             : 3
significado        : 3
esquema            : 3
abaixo             : 3
várias             : 3
frequência         : 3
combinações        : 3
outra              : 3
ponta              : 3
campo              : 3
entre              : 3
qual               : 3
seus               : 3
primeira           : 3
antigos            : 3
Um                 : 3
anos               : 3
Al                 : 3
todas              : 3
garante            : 3
proteção           : 3
privacidade        : 3
eficaz             : 3
assimétrica        : 3
secreto            : 2
geral              : 2
construção         : 2
análise            : 2
ler                : 2
matemática         : 2
ciência            : 2
sentido            : 2
só                 : 2
processo           : 2
técnica            : 2
destinatários      : 2
pretendidos        : 2
acesso             : 2
geralmente         : 2
destinatário       : 2
cifrar             : 2
Guerra             : 2
Mundial            : 2
complexos          : 2
suas               : 2
criptográficos     : 2
projetados         : 2
difíceis           : 2
quebrados          : 2
sistema            : 2
bem                : 2
computacionalmente : 2
tecnologia         : 2
rápida             : 2
único              : 2
muitos             : 2
algumas            : 2
leis               : 2
permitem           : 2
desempenha         : 2
direitos           : 2
violação           : 2
XIX                : 2
—                  : 2
história           : 2
conversão          : 2
tanto              : 2
pelo               : 2
quanto             : 2
idealmente         : 2
termos             : 2
finitos            : 2
frequentemente     : 2
mesma              : 2
significativamente : 2
privada            : 2
permitindo         : 2
partes             : 2
usando             : 2
essa               : 2
Algoritmos         : 2
Padrão             : 2
Cifragem           : 2
Dados              : 2
invenção           : 2
ataque             : 2
elemento           : 2
etc                : 2
inglês             : 2
militar            : 2
referir            : 2
criptoanálise      : 2
línguas            : 2
nas                : 2
às                 : 2
alguma             : 2
criptolinguística  : 2
especialmente      : 2
clássicas          : 2
reorganizam        : 2
ordem              : 2
hello              : 2
world              : 2
ehlol              : 2
owrdl              : 2
rearranjo          : 2
substituem         : 2
voar               : 2
wpbs               : 2
ef                 : 2
vnb                : 2
wfa                : 2
substituindo       : 2
seguinte           : 2
latino             : 2
Versões            : 2
delas              : 2
nunca              : 2
ofereceram         : 2
muita              : 2
oponentes          : 2
empreendedores     : 2
substituída        : 2
número             : 2
fixo               : 2
posições           : 2
Suetônio           : 2
relata             : 2
Júlio              : 2
usava              : 2
deslocamento       : 2
três               : 2
generais           : 2
Atbash             : 2
hebraica           : 2
algum              : 2
esculpido          : 2
pedra              : 2
Egito              : 2
c                  : 2
C                  : 2
feito              : 2
diversão           : 2
observadores       : 2
letrados           : 2
Diz                : 2
gregos             : 2
clássicos          : 2
conheciam          : 2
cítala             : 2
alega              : 2
espartanos         : 2
existência         : 2
mantê              : 2
confidencial       : 2
desenvolvida       : 2
nos                : 2
Heródoto           : 2
tatuada            : 2
cabeça             : 2
raspada            : 2
escravo            : 2
escondida          : 2
sob                : 2
cabelo             : 2
crescido           : 2
Outros             : 2
envolvem           : 2
vista              : 2
musical            : 2
disfarçar          : 2
criptografada      : 2
dentro             : 2
partitura          : 2
regular            : 2
tinta              : 2
invisível          : 2
micropontos        : 2
marcas             : 2
d                  : 2
água               : 2
Índia              : 2
Kama               : 2
Sutra              : 2
Vātsyāyana         : 2
fala               : 2
substituições      : 2
baseadas           : 2
relações           : 2
fonéticas          : 2
consoantes         : 2
consiste           : 2
parear             : 2
recíprocas         : 2
Pérsia             : 2
Sassânida          : 2
havia              : 2
duas               : 2
escritas           : 2
acordo             : 2
autor              : 2
muçulmano          : 2
Ibn                : 2
al                 : 2
Nadim              : 2
šāh                : 2
dabīrīya           : 2
literalmente       : 2
escrita            : 2
rei                : 2
correspondência    : 2
oficial            : 2
rāz                : 2
saharīya           : 2
países             : 2
David              : 2
Kahn               : 2
observa            : 2
The                : 2
Codebreakers       : 2
originou           : 2
povo               : 2
documentar         : 2
criptoanalíticos   : 2
Khalil             : 2
–                  : 2
escreveu           : 2
Livro              : 2
Mensagens          : 2
Criptográficas     : 2
contém             : 2
permutações        : 2
listar             : 2
frequências        : 2
idioma             : 2
ajuda              : 2
tende              : 2
Para               : 2
polialfabética     : 2
Alberti            : 2
Vigenère           : 2
Kasiski            : 2
proteger           : 2
constantemente     : 2
sofisticadas       : 2
fundamental        : 2
sensíveis          : 2
contra             : 2
autorizados        : 2
Ao                 : 2
utilizados         : 2
transações         : 2
online             : 2
pessoais           : 2
Isso               : 2
aplicada           : 2
simétrica          : 2
sendo              : 2
seguro             : 2
confiança          : 2
tecnologias        : 2
importância        : 2
cibernéticas       : 2
estão              : 2
área               : 2
Além               : 2
disso              : 2
continuam          : 2
protegidos         : 2
possam             : 2
estejam            : 2
grego              : 1
κρυπτός            : 1
romanizado         : 1
kryptós            : 1
oculto             : 1
γράφειν            : 1
graphein           : 1
escrever           : 1
λογία              : 1
logia              : 1
respectivamente    : 1
presença           : 1
comportamento      : 1
De                 : 1
trata              : 1
protocolos         : 1
impedem            : 1
terceiros          : 1
público            : 1
privadas           : 1
existe             : 1
intersecção        : 1
disciplinas        : 1
engenharia         : 1
elétrica           : 1
processamento      : 1
sinais             : 1
física             : 1
Conceitos          : 1
básicos            : 1
relacionados       : 1
repúdio            : 1
centrais           : 1
práticas           : 1
comércio           : 1
eletrônico         : 1
cartões            : 1
pagamento          : 1
baseados           : 1
chip               : 1
moedas             : 1
senhas             : 1
computador         : 1
antes              : 1
efetivamente       : 1
sinônimo           : 1
convertendo        : 1
legíveis           : 1
lido               : 1
revertendo         : 1
cifrada            : 1
codificada         : 1
compartilha        : 1
decodificação      : 1
impedir            : 1
adversários        : 1
literatura         : 1
nomes              : 1
Alice              : 1
Bob                : 1
B                  : 1
pretendido         : 1
Eve                : 1
espião             : 1
Desde              : 1
máquinas           : 1
rotor              : 1
Primeira           : 1
advento            : 1
computadores       : 1
Segunda            : 1
tornaram           : 1
variadas           : 1
fortemente         : 1
baseada            : 1
teoria             : 1
torno              : 1
suposições         : 1
dificuldade        : 1
dureza             : 1
computacional      : 1
tais               : 1
serem              : 1
Embora             : 1
possível           : 1
invadir            : 1
projetado          : 1
inviável           : 1
fazê               : 1
lo                 : 1
Tais               : 1
denominados        : 1
Avanços            : 1
teóricos           : 1
melhorias          : 1
fatoração          : 1
inteiros           : 1
exigem             : 1
esses              : 1
designs            : 1
continuamente      : 1
reavaliados        : 1
necessário         : 1
adaptados          : 1
Esquemas           : 1
comprovadamente    : 1
poder              : 1
ilimitado          : 1
OTP                : 1
muito              : 1
melhores           : 1
quebráveis         : 1
crescimento        : 1
criptográfica      : 1
levantou           : 1
série              : 1
questões           : 1
legais             : 1
Era                : 1
Informação         : 1
potencial          : 1
espionagem         : 1
sedição            : 1
levou              : 1
governos           : 1
classificá         : 1
arma               : 1
limitar            : 1
proibir            : 1
seu                : 1
exportação         : 1
jurisdições        : 1
onde               : 1
legal              : 1
investigadores     : 1
obriguem           : 1
divulgação         : 1
encriptação        : 1
documentos         : 1
relevantes         : 1
investigação       : 1
importante         : 1
gestão             : 1
disputas           : 1
autorais           : 1
relação            : 1
mídia              : 1
oposição           : 1
criptograma        : 1
remonta            : 1
originário         : 1
Escaravelho        : 1
Ouro               : 1
Edgar              : 1
Allan              : 1
Poe                : 1
Até                : 1
referia            : 1
quase              : 1
exclusivamente     : 1
comuns             : 1
chamada            : 1
inverso            : 1
mover              : 1
realizam           : 1
reversa            : 1
operação           : 1
detalhada          : 1
controlada         : 1
instância          : 1
segredo            : 1
comunicantes       : 1
sequência          : 1
caracteres         : 1
curta              : 1
possa              : 1
lembrada           : 1
usuário            : 1
decifar            : 1
matemáticos        : 1
formais            : 1
criptossistema     : 1
lista              : 1
ordenada           : 1
elementos          : 1
cifrados           : 1
finitas            : 1
correspondem       : 1
Chaves             : 1
importantes        : 1
formalmente        : 1
pois               : 1
variáveis          : 1
quebradas          : 1
inúteis            : 1
contraproducentes  : 1
maioria            : 1
propósitos         : 1
Historicamente     : 1
eram               : 1
usadas             : 1
diretamente        : 1
procedimentos      : 1
adicionais         : 1
verificações       : 1
Existem            : 1
criptossistemas    : 1
únicos             : 1
conhecidos         : 1
década             : 1
decifra            : 1
manipulação        : 1
relacionada        : 1
vantagem           : 1
publicada          : 1
livremente         : 1
estabeleçam        : 1
compartilhada      : 1
trocar             : 1
seguida            : 1
prossegue          : 1
meio               : 1
simétrico          : 1
eficiente          : 1
troca              : 1
Diffie             : 1
Hellman            : 1
RSA                : 1
Rivest             : 1
Shamir             : 1
Adleman            : 1
ECC                : 1
Curva              : 1
Elíptica           : 1
pós                : 1
quântica           : 1
AES                : 1
Avançada           : 1
comumente          : 1
substituiu         : 1
DES                : 1
inseguros          : 1
emaranhamento      : 1
linguagem          : 1
infantis           : 1
Pig                : 1
Latin              : 1
jargões            : 1
históricos         : 1
seriamente         : 1
anteriores         : 1
início             : 1
XX                 : 1
coloquial          : 1
significar         : 1
método             : 1
ocultação          : 1
entanto            : 1
tem                : 1
específico         : 1
unidade            : 1
frase              : 1
significativa      : 1
