1 criptografia       : 7.68
2 de                 : 6.60
3 a                  : 2.66
4 e                  : 2.29
5 que                : 1.86
6 uma                : 1.86
7 para               : 1.77
8 o                  : 1.55
9 é                  : 1.33
10 em                 : 1.21
11 da                 : 1.05
12 ou                 : 0.96
13 os                 : 0.87
14 se                 : 0.87
15 A                  : 0.84
16 um                 : 0.84
17 cifra              : 0.81
18 na                 : 0.77
19 por                : 0.74
20 com                : 0.71
21 chave              : 0.62
22 letras             : 0.59
23 mais               : 0.53
24 dados              : 0.53
25 no                 : 0.50
26 como               : 0.46
27 as                 : 0.46
28 cifras             : 0.46
29 texto              : 0.43
30 mensagem           : 0.43
31 exemplo            : 0.43
32 uso                : 0.43
33 são                : 0.40
34 simples            : 0.40
35 do                 : 0.37
36 das                : 0.37
37 era                : 0.37
38 usada              : 0.37
39 sistemas           : 0.37
40 informações        : 0.34
41 cifragem           : 0.31
42 O                  : 0.31
43 dos                : 0.31
44 métodos            : 0.31
45 cada               : 0.31
46 seja               : 0.31
47 prática            : 0.28
48 também             : 0.28
49 sem                : 0.28
50 algoritmos         : 0.28
51 primeiro           : 0.28
52 letra              : 0.28
53 foi                : 0.28
54 criptologia        : 0.25
55 moderna            : 0.25
56 segurança          : 0.25
57 à                  : 0.25
58 não                : 0.25
59 vez                : 0.25
60 mesmo              : 0.25
61 Na                 : 0.25
62 estudo             : 0.22
63 técnicas           : 0.22
64 digitais           : 0.22
65 cifrado            : 0.22
66 ser                : 0.22
67 seguros            : 0.22
68 até                : 0.22
69 substituição       : 0.22
70 esteganografia     : 0.22
71 garantir           : 0.22
72 segura             : 0.19
73 forma              : 0.19
74 mensagens          : 0.19
75 outras             : 0.19
76 incluem            : 0.19
77 decifragem         : 0.19
78 usar               : 0.19
79 chaves             : 0.19
80 assimétricos       : 0.19
81 No                 : 0.19
82 torna              : 0.19
83 pela               : 0.19
84 alfabeto           : 0.19
85 Criptografia       : 0.15
86 computação         : 0.15
87 confidencialidade  : 0.15
88 tornando           : 0.15
89 sejam              : 0.15
90 Em                 : 0.15
91 digital            : 0.15
92 ao                 : 0.15
93 tempos             : 0.15
94 possíveis          : 0.15
95 tipos              : 0.15
96 simétricos         : 0.15
97 ter                : 0.15
98 outros             : 0.15
99 grupos             : 0.15
100 essencial          : 0.15
101 antigo             : 0.12
102 comunicação        : 0.12
103 autenticação       : 0.12
104 militares          : 0.12
105 pode               : 0.12
106 apenas             : 0.12
107 qualquer           : 0.12
108 esquemas           : 0.12
109 podem              : 0.12
110 mas                : 0.12
111 Uma                : 0.12
112 pelos              : 0.12
113 principais         : 0.12
114 Os                 : 0.12
115 usados             : 0.12
116 todos              : 0.12
117 palavra            : 0.12
118 isso               : 0.12
119 transposição       : 0.12
120 sistematicamente   : 0.12
121 inicial            : 0.12
122 César              : 0.12
123 comunicar          : 0.12
124 sido               : 0.12
125 ocultar            : 0.12
126 esconder           : 0.12
127 diferentes         : 0.12
128 Kautiliyam         : 0.12
129 Mulavediya         : 0.12
130 vogais             : 0.12
131 secretas           : 0.12
132 árabes             : 0.12
133 ameaças            : 0.12
134 adversário         : 0.09
135 informação         : 0.09
136 integridade        : 0.09
137 As                 : 0.09
138 aplicações         : 0.09
139 comunicações       : 0.09
140 ininteligível      : 0.09
141 remetente          : 0.09
142 usa                : 0.09
143 E                  : 0.09
144 desenvolvimento    : 0.09
145 real               : 0.09
146 teoricamente       : 0.09
147 portanto           : 0.09
148 ferramenta         : 0.09
149 la                 : 0.09
150 papel              : 0.09
151 termo              : 0.09
152 século             : 0.09
153 modernos           : 0.09
154 chamadas           : 0.09
155 textos             : 0.09
156 palavras           : 0.09
157 volta              : 0.09
158 par                : 0.09
159 algoritmo          : 0.09
160 conhecido          : 0.09
161 necessária         : 0.09
162 trivialmente       : 0.09
163 conhecimento       : 0.09
164 dois               : 0.09
165 secreta            : 0.09
166 usam               : 0.09
167 pública            : 0.09
168 decifrar           : 0.09
169 Exemplos           : 0.09
170 usado              : 0.09
171 código             : 0.09
172 significado        : 0.09
173 esquema            : 0.09
174 abaixo             : 0.09
175 várias             : 0.09
176 frequência         : 0.09
177 combinações        : 0.09
178 outra              : 0.09
179 ponta              : 0.09
180 campo              : 0.09
181 entre              : 0.09
182 qual               : 0.09
183 seus               : 0.09
184 primeira           : 0.09
185 antigos            : 0.09
186 Um                 : 0.09
187 anos               : 0.09
188 Al                 : 0.09
189 todas              : 0.09
190 garante            : 0.09
